train,stations
1,"[Arnhem Centraal, Nijmegen, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal, s-Hertogenbosch, Eindhoven, Helmond, Venlo]"
2,"[Beverwijk, Zaandam, Amsterdam Sloterdijk, Haarlem, Amsterdam Sloterdijk, Haarlem, Beverwijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal]"
3,"[Breda, Tilburg, Eindhoven, Weert, Roermond, Sittard, Maastricht, Sittard, Heerlen, Sittard, Roermond]"
4,"[Castricum, Beverwijk, Zaandam, Castricum, Beverwijk, Zaandam, Hoorn, Alkmaar]"
5,"[Den Haag Centraal, Delft, Den Haag Centraal, Leiden Centraal, Alphen a/d Rijn, Gouda, Utrecht Centraal, Schiphol Airport]"
6,"[Den Haag HS, Gouda, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Rotterdam Blaak, Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Rotterdam Blaak, Dordrecht]"
7,"[Den Haag Laan v NOI, Gouda, Alphen a/d Rijn, Gouda, Den Haag Laan v NOI, Gouda, Rotterdam Alexander, Gouda]"
8,"[Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Den Haag Centraal, Delft, Den Haag HS, Gouda, Alphen a/d Rijn, Utrecht Centraal]"
9,"[Hilversum, Utrecht Centraal, Amsterdam Centraal, Utrecht Centraal, Schiphol Airport, Leiden Centraal, Den Haag Centraal]"
10,"[Roosendaal, Etten-Leur, Roosendaal, Dordrecht, Breda, Tilburg, Breda, Etten-Leur, Roosendaal]"
11,"[Rotterdam Alexander, Gouda, Alphen a/d Rijn, Leiden Centraal, Alphen a/d Rijn, Utrecht Centraal, Gouda, Den Haag Laan v NOI]"
12,"[Rotterdam Blaak, Schiedam Centrum, Rotterdam Centraal, Dordrecht, Rotterdam Centraal, Dordrecht, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag Centraal, Gouda]"
13,"[Rotterdam Centraal, Dordrecht, Breda, Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Rotterdam Blaak, Schiedam Centrum, Rotterdam Centraal, Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander]"
14,"[Schiedam Centrum, Rotterdam Blaak, Schiedam Centrum, Rotterdam Blaak, Dordrecht, Rotterdam Blaak, Dordrecht, Roosendaal, Etten-Leur]"
15,"[Schiphol Airport, Leiden Centraal, Den Haag HS, Gouda, Alphen a/d Rijn, Gouda, Utrecht Centraal]"
16,"[Sittard, Roermond, Weert, Roermond, Weert, Eindhoven, Weert, Eindhoven, Tilburg, s-Hertogenbosch]"
17,"[Tilburg, Eindhoven, Helmond, Eindhoven, Weert, Eindhoven, Weert, Roermond, Sittard, Maastricht]"
18,"[Zutphen, Deventer, Zutphen, Deventer, Zutphen, Deventer, Apeldoorn, Zutphen, Dieren]"
19,"[Assen, Zwolle, Deventer, Zutphen, Dieren, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal]"
20,"[Dieren, Zutphen, Apeldoorn, Deventer, Zwolle, Assen, Groningen, Assen]"
score,30.078651685393197
